"基金代號","基金簡稱","基金類型","基金中文名稱","基金英文名稱","標的指數/追蹤指數名稱","標的指數是否為客製化或需揭露相關資訊之指數","股票及債券投資比例說明","是否設有績效指標","績效指標中文名稱","績效指標英文名稱","是否包含國外成分股","基金統一編號","成立日期","上市日期","基金經理人","經理公司總機","經理公司地址","經理公司董事長","經理公司發言人","經理公司總經理","經理公司代理發言人","總代理人","發行單位數/轉換數","保管機構","保管機構電話","保管機構地址","備註",
="0050",="元大台灣50","國內成分證券指數股票型基金","元大台灣卓越50證券投資信託基金","Yuanta/P-shares Taiwan Top 50 ETF","臺灣50指數","否","不適用","不適用","不適用","不適用","否","98764389","092/06/25","092/06/30","陳重銓","(02)27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","      2,222,000,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="0051",="元大中型100","國內成分證券指數股票型基金","元大台灣中型100證券投資信託基金","Yuanta/P-shares Taiwan Mid-Cap 100 ETF","臺灣中型100指數","否","不適用","不適用","不適用","不適用","否","48772770","095/08/24","095/08/31","邱鉦淵","(02)27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","         24,000,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="0052",="富邦科技","國內成分證券指數股票型基金","富邦台灣科技指數證券投資信託基金","Fubon Taiwan Technology Tracker Fund","臺灣資訊科技指數","否","不適用","不適用","不適用","不適用","否","48790067","095/08/28","095/09/12","紀元豪","(02)8771-6688","台北市敦化南路一段108號8樓","黃昭棠","黃昭棠","林欣怡","林欣怡","富邦證券投資信託股份有限公司","         78,000,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="0053",="元大電子","國內成分證券指數股票型基金","元大台灣ETF傘型證券投資信託基金之電子科技證券投資信託基金","Yuanta/P-shares Taiwan Electronics Tech ETF","電子類加權股價指數","否","不適用","不適用","不適用","不適用","否","48903196","096/07/04","096/07/16","蔡宗勳","(02)27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","          5,488,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="0054",="元大台商50","國內成分證券指數股票型基金","元大台灣ETF傘型證券投資信託基金之台商收成證券投資信託基金","Yuanta/P-shares S&P Custom China Play 50 ETF","S&P台商收成指數","","不適用","不適用","不適用","不適用","否","48903180","096/07/04","096/07/16","陳威志","(02)27175555","臺北市大安區敦化南路二段67號地下一層","劉宗聖","陳沛宇","陳沛宇","林瑞源","","          4,124,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="0055",="元大MSCI金融","國內成分證券指數股票型基金","元大台灣ETF傘型證券投資信託基金之金融證券投資信託基金","Yuanta/P-shares MSCI Taiwan Financials ETF","MSCI台灣金融指數","否","不適用","不適用","不適用","不適用","否","48903175","096/07/04","096/07/16","程惇亞","(02)27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","         72,654,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="0056",="元大高股息","國內成分證券指數股票型基金","元大台灣高股息證券投資信託基金","Yuanta/P-shares Taiwan Dividend Plus ETF","臺灣高股息指數","否","不適用","不適用","不適用","不適用","否","48966213","096/12/13","096/12/26","陳威志","(02)27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","     10,435,534,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="0057",="富邦摩台","國內成分證券指數股票型基金","富邦台灣ETF傘型證券投資信託基金之富邦台灣摩根指數股票型證券投資信託基金","FUBON MSCI  TAIWAN ETF","MSCI臺灣指數","否","不適用","不適用","不適用","不適用","否","48975156","097/02/14","097/02/27","陳又又吉","(02)8771-6688","台北市敦化南路一段108號8樓","黃昭棠","黃昭棠","林欣怡","林欣怡","富邦證券投資信託股份有限公司","          1,527,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="0058",="富邦發達","國內成分證券指數股票型基金","富邦台灣ETF傘型證券投資信託基金之富邦台灣發達指數股票型證券投資信託基金","FUBON TAIWAN EIGHT INDUSTRIES ETF","臺灣發達指數","","不適用","不適用","不適用","不適用","否","48977083","097/02/14","097/02/27","簡伯容","(02)8771-6688","台北市敦化南路一段108號8樓","胡德興","胡德興","李明州","李明州","","            696,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="0059",="富邦金融","國內成分證券指數股票型基金","富邦台灣ETF傘型證券投資信託基金之富邦台灣金融指數股票型證券投資信託基金","FUBON TAIWAN FINANCE  ETF","金融保險類股指數","","不適用","不適用","不適用","不適用","否","48975162","097/02/14","097/02/27","楊貽甯","(02)8771-6688","台北市敦化南路一段108號8樓","胡德興","胡德興","李明州","李明州","","            973,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="0060",="新台灣","國內成分證券指數股票型基金","元大新台灣證券投資信託基金","Yuanta/P-shares TWSE Taiwan Non－Tech 50 ETF","未含電子股50指數","","不適用","不適用","不適用","不適用","否","10342511","097/08/06","097/08/18","謝宜蓁","(02)27175555","台北市敦化南路一段66號5~6樓、68號2樓之1","林武田","劉宗聖","劉宗聖","張浴澤","","          1,153,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="0061",="元大寶滬深","連結式證券指數股票型基金","元大標智滬深300證券投資信託基金","W.I.S.E. Yuanta/P-shares CSI 300 ETF","滬深300指數","否","不適用","不適用","不適用","不適用","是","25610486","098/08/04","098/08/17","張克豪","(02)27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","        153,116,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="006203",="元大MSCI台灣","國內成分證券指數股票型基金","元大摩臺證券投資信託基金","Yuanta/ P-shares MSCI Taiwan ETF","MSCI&#174;臺灣指數","否","不適用","不適用","不適用","不適用","否","26306553","100/04/21","100/05/12","李政剛","(02)27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","         10,218,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="006204",="永豐臺灣加權","國內成分證券指數股票型基金","永豐臺灣加權ETF證券投資信託基金","Sinopac TAIEX ETF","臺灣證券交易所發行量加權股價指數","否","不適用","不適用","不適用","不適用","否","26332314","100/09/06","100/09/28","陳鎮平","(02)2361-8110","100台北市博愛路17號13樓","陳思寬","陳傳毅","濮樂偉","王麗君","","          1,500,000","永豐證券投資信託股份有限公司","(02)2361-8110","100台北市博愛路17號13樓","",
="006205",="富邦上証","國外成分證券指數股票型基金","富邦上証180證券投資信託基金","Fubon SSE180 ETF","上証180指數","否","不適用","不適用","不適用","不適用","是","26334740","100/08/30","100/09/26","陳仲愷","(02)8771-6688","台北市敦化南路一段108號8樓","黃昭棠","黃昭棠","林欣怡","林欣怡","富邦證券投資信託股份有限公司","        158,772,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="006206",="元大上證50","國外成分證券指數股票型基金","元大中國傘型證券投資信託基金之上證50證券投資信託基金","Yuanta/P-shares SSE50 ETF","上證50指數","否","不適用","不適用","不適用","不適用","是","31830488","101/04/25","101/05/11","李舒禾","(02)27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","         45,278,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="006207",="復華滬深","國外成分證券指數股票型基金","復華滬深300 A股證券投資信託基金","Fuh Hwa CSI 300 A Shares Exchange Traded Fund","滬深300指數","否","不適用","不適用","不適用","不適用","是","31835478","101/06/05","101/06/22","廖崇文","(02)8161-6800","台北市八德路二段308號8樓","杜俊雄","張偉智","張偉智","無","","         33,892,000","臺灣集中保管結算所股份有限公司","(02)2719-5805","台北市復興北路363號11樓","",
="006208",="富邦台50","國內成分證券指數股票型基金","富邦台灣釆吉50 證券投資信託基金","Fubon FTSE TWSE Taiwan 50 ETF","臺灣50指數","否","不適用","不適用","不適用","不適用","否","31840182","101/06/22","101/07/17","洪珮甄","(02)8771-6688","台北市敦化南路一段108號8樓","黃昭棠","黃昭棠","林欣怡","林欣怡","富邦證券投資信託股份有限公司","      1,650,040,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="00625K",="富邦上証+R","國外成份/加掛外幣證券指數股票型基金","富邦上証180證券投資信託基金-加掛人民幣ETF受益憑證-國外成份/加掛外幣證券指數股票型基金","FUBON SSE 180 ETF RMB","上証180指數","否","不適用","不適用","不適用","不適用","是","26334740","105/08/08","105/08/08","陳仲愷","(02)8771-6688","台北市敦化南路一段108號8樓","黃昭棠","黃昭棠","林欣怡","林欣怡","富邦證券投資信託股份有限公司","            333,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="00631L",="元大台灣50正2","槓桿/反向指數股票型基金","元大ETF傘型證券投資信託基金之台灣50單日正向2倍證券投資信託基金","Yuanta Daily Taiwan 50 Bull 2X ETF","臺灣50指數","否","不適用","不適用","不適用","不適用","否","38619904","103/10/23","103/10/31","曾逸江","(02)27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","        134,584,000","臺灣集中保管結算所股份有限公司","(02)27195805","臺北市復興北路363號11樓","",
="00632R",="元大台灣50反1","槓桿/反向指數股票型基金","元大ETF傘型證券投資信託基金之台灣50單日反向1倍證券投資信託基金","Yuanta Daily Taiwan 50 Bear -1X ETF","臺灣50指數","否","不適用","不適用","不適用","不適用","否","38619910","103/10/23","103/10/31","陳威志","(02)27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","      1,109,707,730","臺灣集中保管結算所股份有限公司","(02)27195805","臺北市復興北路363號11樓","",
="00633L",="富邦上証正2","槓桿/反向指數股票型基金","富邦中國ETF傘型證券投資信託基金之富邦上証180單日正向兩倍證券投資信託基金","Fubon SSE 180 Leveraged 2X Index ETF","上証180兩倍槓桿指數","否","不適用","不適用","不適用","不適用","是","38633011","103/11/11","103/11/25","洪珮甄","(02)8771-6688","台北市敦化南路一段108號8樓","黃昭棠","黃昭棠","林欣怡","林欣怡","富邦證券投資信託股份有限公司","        296,458,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="00634R",="富邦上証反1","槓桿/反向指數股票型基金","富邦中國ETF傘型證券投資信託基金之富邦上証180單日反向一倍證券投資信託基金","Fubon SSE 180 Inversed Index ETF","上証180反向指數","否","不適用","不適用","不適用","不適用","是","38633027","103/11/11","103/11/25","溫芳儀","(02)8771-6688","台北市敦化南路一段108號8樓","黃昭棠","黃昭棠","林欣怡","林欣怡","富邦證券投資信託股份有限公司","         48,256,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="00635U",="期元大S&amp;P黃金(原名：元大S&amp;P黃金)","指數股票型期貨信託基金","元大標普高盛黃金ER指數股票型期貨信託基金","Yuanta S&P GSCI Gold ER Futures ETF","標普高盛黃金ER指數","否","不適用","不適用","不適用","不適用","是","38651191","104/04/01","104/04/15","洪佑銘","02-27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","         44,514,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="00636",="國泰中國A50","國外成分證券指數股票型基金","國泰富時中國A50證券投資信託基金","Cathay FTSE China A50 ETF","富時中國A50指數","否","不適用","不適用","不適用","不適用","是","42260528","104/03/20","104/04/01","鄭立誠","0227008399","台北市大安區敦化南路2段39號6樓","張錫","吳惠君","張雍川","張永輝","國泰證券投資信託股份有限公司","        198,446,000","台灣集中保管結算所股份有限公司","0227195805","台北市復興北路363號11樓","",
="00636K",="國泰富時中國A50+U","國外成份/加掛外幣證券指數股票型基金","國泰富時中國A50證券投資信託基金(加掛美元受益憑證)-國外成份/加掛外幣證券指數股票型基金","Cathay FTSE China A50 ETF","富時中國A50指數","否","不適用","不適用","不適用","不適用","是","42260528","106/10/24","106/10/24","鄭立誠","0227008399","台北市大安區敦化南路2段39號6樓","張錫","吳惠君","張雍川","張永輝","國泰證券投資信託股份有限","             62,100","台灣集中保管結算所股份有限公司","0227195805","台北市復興北路363號11樓","",
="00637L",="元大滬深300正2","槓桿/反向指數股票型基金","元大滬深300傘型證券投資信託基金之滬深300單日正向2倍證券投資信託基金","Yuanta Daily CSI300 Bull 2X ETF","滬深300日報酬正向兩倍指數","否","不適用","不適用","不適用","不適用","是","42300253","104/05/06","104/05/18","李舒禾","02-27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","      2,154,106,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="00638R",="元大滬深300反1","槓桿/反向指數股票型基金","元大滬深300傘型證券投資信託基金之滬深300單日反向1倍證券投資信託基金","Yuanta Daily CSI 300 Bear -1X ETF","滬深300日報酬反向一倍指數","否","不適用","不適用","不適用","不適用","是","42300232","104/05/06","104/05/18","張克豪","02-27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","         35,948,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="00639",="富邦深100","國外成分證券指數股票型基金","富邦深証100證券投資信託基金","Fubon SZSE 100 ETF","深証100指數","否","不適用","不適用","不適用","不適用","是","42302273","104/05/20","104/06/09","溫芳儀","(02)8771-6688","台北市敦化南路一段108號8樓","黃昭棠","黃昭棠","林欣怡","林欣怡","富邦證券投資信託股份有限公司","        246,403,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="00640L",="富邦日本正2","槓桿/反向指數股票型基金","富邦日本ETF傘型證券投資信託基金之富邦日本東証單日正向兩倍證券投資信託基金","Fubon TOPIX Leveraged 2X Index ETF","東証正向二倍指數","否","不適用","不適用","不適用","不適用","是","42319561","104/08/27","104/09/10","陳仲愷","(02)8771-6688","台北市敦化南路一段108號8樓","黃昭棠","黃昭棠","林欣怡","林欣怡","富邦證券投資信託股份有限公司","         17,919,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="00641R",="富邦日本反1","槓桿/反向指數股票型基金","富邦日本ETF傘型證券投資信託基金之富邦日本東証單日反向一倍證券投資信託基金","Fubon TOPIX Inverse-1X Index ETF","東証反向一倍指數","否","不適用","不適用","不適用","不適用","是","42319582","104/08/27","104/09/10","王素珍","(02)8771-6688","台北市敦化南路一段108號8樓","黃昭棠","黃昭棠","林欣怡","林欣怡","富邦證券投資信託股份有限公司","         55,758,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="00642U",="期元大S&amp;P石油(原名：元大S&amp;P石油)","指數股票型期貨信託基金","元大標普高盛原油ER指數股票型期貨信託基金","Yuanta S&P GSCI Crude Oil ER Futures ETF","標普高盛原油增強超額回報指數","否","不適用","不適用","不適用","不適用","是","42320363","104/08/27","104/09/07","黃議玄","02-27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","        114,321,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="00643",="群益深証中小","國外成分證券指數股票型基金","群益深証中小１００證券投資信託基金","CAPITAL SZSE SME １００ INDEX EXCHANGE TRADED FUND","中小企業１００指數","否","不適用","不適用","不適用","不適用","是","42323777","104/11/12","104/12/02","張菁惠","(02)27067688","台北市大安區敦化南路二段69號15樓","賴政昇","林慧玟","陳明輝","無","無","        116,200,000","群益證券投資信託股份有限公司","(02)27067688","台北市大安區敦化南路二段69號15樓","",
="00643K",="群益深証中小+R","國外成份/加掛外幣證券指數股票型基金","群益深証中小１００證券投資信託基金加掛—人民幣ETF受益憑證-國外成份/加掛外幣證券指數股票型基金","CAPITAL SZSE SME １００ INDEX EXCHANGE TRADED FUND","中小企業１００指數","否","不適用","不適用","不適用","不適用","是","42323777","104/11/12","105/08/26","張菁蕙","(02)27067688","臺北市大安區敦化南路二段69號15樓","賴政昇","林慧玟","陳明輝","無","無","            127,000","群益證券投資信託股份有限公司","(02)27067688","臺北市大安區敦化南路二段69號15樓","",
="00645",="富邦日本","國外成分證券指數股票型基金","富邦日本東証證券投資信託基金","Fubon TOPIX ETF","東證股價指數","否","不適用","不適用","不適用","不適用","是","42328908","104/10/28","104/11/06","謝恩雅","(02)8771-6688","台北市敦化南路一段108號8樓","黃昭棠","黃昭棠","林欣怡","林欣怡","富邦證券投資信託股份有限公司","         80,997,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="00646",="元大S&amp;P500","國外成分證券指數股票型基金","元大標普500傘型證券投資信託基金之標普500證券投資信託基金","Yuanta S&P 500 ETF","標普500指數","否","不適用","不適用","不適用","不適用","是","42333613","104/12/02","104/12/14","盧永祥","02-27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","        501,985,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="00647L",="元大S&amp;P500正2","槓桿/反向指數股票型基金","元大標普500傘型證券投資信託基金之標普500單日正向2倍證券投資信託基金","Yuanta Daily S&P 500 Bull 2X ETF","標普500 2倍槓桿指數","否","不適用","不適用","不適用","不適用","是","42333579","104/12/02","104/12/14","李政剛","02-27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","         10,916,000","臺灣集中保管結算所股份有限公司","02-27195805","台北市復興北路363號11樓","",
="00648R",="元大S&amp;P500反1","槓桿/反向指數股票型基金","元大標普500傘型證券投資信託基金之標普500單日反向1倍證券投資信託基金","Yuanta Daily S&P 500 Bear 1X ETF","標普500反向指數","否","不適用","不適用","不適用","不適用","是","42333563","104/12/02","104/12/14","方雅婷","02-27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","        152,688,000","臺灣集中保管結算所股份有限公司","02-27195805","台北市復興北路363號11樓","",
="00649",="FH香港","國外成分證券指數股票型基金","復華香港ETF傘型證券投資信託基金之復華琤芤狳擏賳磭H託基金","Fuh Hwa Hang Seng ETF","琤肏數","","不適用","不適用","不適用","不適用","是","42329884","105/01/13","105/01/27","劉妙惠","(02)8161-6800","台北市八德路二段308號8樓","杜俊雄","周輝啟","周輝啟","無","","          4,272,000","臺灣集中保管結算所股份有限公司","(02)2719-5805","台北市復興北路363號11樓","",
="00650L",="復華香港正2","槓桿/反向指數股票型基金","復華香港ETF傘型證券投資信託基金之復華琤苀璊擖縝V二倍證券投資信託基金","Fuh Hwa Daily Hang Seng Leveraged 2X ETF","瓻槓桿指數","否","不適用","不適用","不適用","不適用","是","42329863","105/01/13","105/01/27","廖崇文","(02)8161-6800","台北市八德路二段308號8樓","杜俊雄","張偉智","張偉智","無","","        376,338,000","臺灣集中保管結算所股份有限公司","(02)2719-5805","台北市復興北路363號11樓","",
="00651R",="復華香港反1","槓桿/反向指數股票型基金","復華香港ETF傘型證券投資信託基金之復華琤苀璊擗浀V一倍證券投資信託基金","Fuh Hwa Daily Hang Seng Inversed ETF","瓻短倉指數","否","不適用","不適用","不適用","不適用","是","42329879","105/01/13","105/01/27","廖崇文","(02)8161-6800","台北市八德路二段308號8樓","杜俊雄","張偉智","張偉智","無","","         29,192,000","臺灣集中保管結算所股份有限公司","(02)2719-5805","台北市復興北路363號11樓","",
="00652",="富邦印度","國外成分證券指數股票型基金","富邦印度ETF傘型證券投資信託基金之富邦印度NIFTY證券投資信託基金","Fubon NIFTY ETF","NIFTY指數","否","不適用","不適用","不適用","不適用","是","42376963","105/03/16","105/03/29","蘇筱婷","(02)8771-6688","台北市敦化南路一段108號8樓","史綱","史綱","林欣怡","林欣怡","富邦證券投資信託股份有限公司","         97,535,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="00653L",="富邦印度正2","槓桿/反向指數股票型基金","富邦印度ETF傘型證券投資信託基金之富邦印度NIFTY單日正向兩倍證券投資信託基金","Fubon NIFTY 2X Leveraged Index ETF","NIFTY正向2倍指數","否","不適用","不適用","不適用","不適用","是","42376990","105/03/16","105/03/29","黃煜翔","(02)8771-6688","台北市敦化南路一段108號8樓","史綱","史綱","林欣怡","林欣怡","富邦證券投資信託股份有限公司","         19,903,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
