"基金代號","基金簡稱","基金類型","基金中文名稱","基金英文名稱","標的指數/追蹤指數名稱","標的指數是否為客製化或需揭露相關資訊之指數","股票及債券投資比例說明","是否設有績效指標","績效指標中文名稱","績效指標英文名稱","是否包含國外成分股","基金統一編號","成立日期","上市日期","基金經理人","經理公司總機","經理公司地址","經理公司董事長","經理公司發言人","經理公司總經理","經理公司代理發言人","總代理人","發行單位數/轉換數","保管機構","保管機構電話","保管機構地址","備註",
="00654R",="富邦印度反1","槓桿/反向指數股票型基金","富邦印度ETF傘型證券投資信託基金之富邦印度NIFTY單日反向一倍證券投資信託基金","Fubon NIFTY -1 Inverse Index ETF","NIFTY反向1倍指數","否","不適用","不適用","不適用","不適用","是","42376984","105/03/16","105/03/29","王辰方","(02)8771-6688","台北市敦化南路一段108號8樓","史綱","史綱","林欣怡","林欣怡","富邦證券投資信託股份有限公司","         21,466,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="00655L",="國泰中國A50正2","槓桿/反向指數股票型基金","國泰A50傘型證券投資信託基金之富時中國A50單日正向2倍證券投資信託基金","Cathay FTSE China A50 Daily Leveraged 2X ETF","富時中國A50兩倍槓桿指數","否","不適用","不適用","不適用","不適用","是","42385148","105/03/08","105/03/18","游日傑","0227008399","台北市大安區敦化南路二段39號6樓","張錫","吳惠君","張雍川","張永輝","國泰證券投資信託股份有限公司","        156,958,000","台灣集中保管結算所股份有限公司","0227195805","台北市復興北路363號11樓","",
="00656R",="國泰中國A50反1","槓桿/反向指數股票型基金","國泰A50傘型證券投資信託基金之富時中國A50單日反向1倍證券投資信託基金","Cathay FTSE China A50 Daily Inversed  ETF","富時中國A50反向指數","否","不適用","不適用","不適用","不適用","是","42385127","105/03/08","105/03/18","楊子慧","0227008399","台北市大安區敦化南路二段39號6樓","張錫","吳惠君","張雍川","張永輝","國泰證券投資信託股份有限公司","         23,857,000","台灣集中保管結算所股份有限公司","0227195805","台北市復興北路363號11樓","",
="00657",="國泰日經225","國外成分證券指數股票型基金","國泰日本ETF傘型證券投資信託基金之日經225證券投資信託基金","Cathay Nikkei 225 Currency-hedged ETF Fund","日經225","否","不適用","不適用","不適用","不適用","是","42389475","105/04/25","105/05/09","游日傑","0227008399","台北市大安區敦化南路二段39號6樓","張錫","吳惠君","張雍川","張永輝","國泰證券投資信託股份有限公司","          9,613,000","台灣集中保管結算所股份有限公司","0227195805","台北市復興北路363號11樓","",
="00657K",="國泰日經225+U","國外成份/加掛外幣證券指數股票型基金","國泰日經225證券投資信託基金(加掛美元受益憑證)-國外成份/加掛外幣證券指數股票型基金","Cathay Nikkei 225 Currency-hedged ETF Fund(USD)","日經225","否","不適用","不適用","不適用","不適用","是","42389475","106/10/24","106/10/24","游日傑","0227008399","台北市大安區敦化南路二段39號6樓","張錫","吳惠君","張雍川","張永輝","國泰證券投資信託股份有限公司","             29,900","台灣集中保管結算所股份有限公司","0227195805","台北市復興北路363號11樓","",
="00658L",="國泰日本正2","槓桿/反向指數股票型基金","國泰日本ETF傘型證券投資信託基金之富時日本單日正向2倍證券投資信託基金","Cathay FTSE Japan Daily Leveraged 2X ETF Fund","富時日本單日正向2倍指數","否","不適用","不適用","不適用","不適用","是","42389496","105/04/25","105/05/09","游日傑","0227008399","台北市大安區敦化南路二段39號6樓","張錫","吳惠君","張雍川","張永輝","國泰證券投資信託股份有限公司","            845,000","台灣集中保管結算所股份有限公司","0227195805","台北市復興北路363號11樓","",
="00659R",="國泰日本反1","槓桿/反向指數股票型基金","國泰日本ETF傘型證券投資信託基金之富時日本單日反向1倍證券投資信託基金","Cathay FTSE Japan Daily Inversed ETF Fund","富時日本單日反向1倍指數","否","不適用","不適用","不適用","不適用","是","42389480","105/04/25","105/05/09","游日傑","0227008399","台北市大安區敦化南路二段39號6樓","張錫","吳惠君","張雍川","張永輝","國泰證券投資信託股份有限公司","          3,080,000","台灣集中保管結算所股份有限公司","0227195805","台北市復興北路363號11樓","",
="00660",="元大歐洲50","國外成分證券指數股票型基金","元大已開發國家傘型證券投資信託基金之元大歐洲50證券投資信託基金","Yuanta EURO STOXX 50 ETF","歐洲 STOXX50 指數","否","不適用","不適用","不適用","不適用","是","42398684","105/06/01","105/06/15","許家瑋","02-27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","          7,031,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="00661",="元大日經225","國外成分證券指數股票型基金","元大已開發國家傘型證券投資信託基金之元大日經225證券投資信託基金","Yuanta Nikkei 225 ETF","日經225指數","否","不適用","不適用","不適用","不適用","是","42398663","105/06/01","105/06/15","盧永祥","02-27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","         28,425,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="00662",="富邦NASDAQ","國外成分證券指數股票型基金","富邦NASDAQ-100證券投資信託基金","Fubon  NASDAQ-100  ETF","NASDAQ-100 指數","否","不適用","不適用","不適用","不適用","是","42399305","105/06/03","105/06/17","王辰方","(02)8771-6688","台北市敦化南路一段108號8樓","史綱","史綱","林欣怡","林欣怡","富邦證券投資信託股份有限公司","        517,029,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="00663L",="國泰臺灣加權正2","槓桿/反向指數股票型基金","國泰臺指ETF傘型證券投資信託基金之臺灣加權指數單日正向2倍證券投資信託基金","Cathay TAIEX Daily Leveraged 2X ETF Fund","臺灣證券交易所發行量加權股價日報酬正向兩倍指數","否","不適用","不適用","不適用","不適用","否","42404264","105/07/01","105/07/14","游日傑","0227008399","台北市大安區敦化南路二段39號6樓","張錫","吳惠君","張雍川","張永輝","國泰證券投資信託股份有限公司","          1,309,000","台灣集中保管結算所託股份有限公","0227195805","台北市復興北路363號11樓","",
="00664R",="國泰臺灣加權反1","槓桿/反向指數股票型基金","國泰臺指ETF傘型證券投資信託基金之臺灣加權指數單日反向1倍證券投資信託基金","Cathay TAIEX Daily Inversed ETF","臺灣證券交易所發行量加權股價日報酬反向一倍指數","否","不適用","不適用","不適用","不適用","否","42404258","105/07/01","105/07/14","游日傑","0227008399","台北市大安區敦化南路二段39號6樓","張錫","吳惠君","張雍川","張永輝","國泰證券投資信託股份有限公司","        600,575,000","台灣集中保管結算所股份有限公司","0227195805","台北市復興北路363號11樓","",
="00665L",="富邦琤肭磪囓2","槓桿/反向指數股票型基金","富邦琤肭磪贙TF傘型證券投資信託基金之富邦琤肭磪瓥璊擖縝V兩倍證券投資信託基金","Fubon Hang Seng China Enterprises Leveraged Index ETF","琤肭磪羉b桿指數","否","不適用","不適用","不適用","不適用","是","42404573","105/07/21","105/08/05","黃煜翔","(02)8771-6688","台北市敦化南路一段108號8樓","黃昭棠","黃昭棠","林欣怡","林欣怡","富邦證券投資信託股份有限公司","        880,465,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="00666R",="富邦琤肭磪齯1","槓桿/反向指數股票型基金","富邦琤肭磪贙TF傘型證券投資信託基金之富邦琤肭磪瓥璊擗浀V一倍證券投資信託基金","Fubon Hang Seng China Enterprises Inverse Index ETF","琤肭磪礸u倉指數","否","不適用","不適用","不適用","不適用","是","42404567","105/07/21","105/08/05","陳又又吉","(02)8771-6688","台北市敦化南路一段108號8樓","黃昭棠","黃昭棠","林欣怡","林欣怡","富邦證券投資信託股份有限公司","          9,124,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="00667",="元大韓國","國外成分證券指數股票型基金","元大韓國KOSPI 200證券投資信託基金","Yuanta KOSPI 200 ETF","KOSPI 200指數","","不適用","不適用","不適用","不適用","是","42441583","105/09/30","105/10/07","李孟霞","(02)27175555","台北市中山區南京東路三段219號11樓","黃古彬","劉宗聖","劉宗聖","黃昭棠","","            929,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="00668",="國泰美國道瓊","國外成分證券指數股票型基金","國泰美國ETF傘型證券投資信託基金之道瓊工業平均指數證券投資信託基金","Cathay DJIA ETF","道瓊斯工業平均指數","否","不適用","不適用","不適用","不適用","是","42443225","105/10/03","105/10/17","張家璇","0227008399","台北市大安區敦化南路二段39號6樓","張錫","吳惠君","張雍川","張永輝","國泰證券投資信託股份有限公司","         15,058,000","台灣集中保管結算所股份有限公司","0227195805","台北市復興北路363號11樓","",
="00668K",="國泰美國道瓊+U","國外成份/加掛外幣證券指數股票型基金","國泰道瓊工業平均指數證券投資信託基金(加掛美元受益憑證)-國外成份/加掛外幣證券指數股票型基金","Cathay Dow Jones Industrial Average ETF(USD)","道瓊斯工業平均指數","否","不適用","不適用","不適用","不適用","是","42443225","106/10/24","106/10/24","張家璇","0227008399","台北市大安區敦化南路二段39號6樓","張錫","吳惠君","張雍川","張永輝","國泰證券投資信託股份有限公司","             10,500","台灣集中保管結算所股份有限公司","0227195805","台北市復興北路363號11樓","",
="00669R",="國泰美國道瓊反1","槓桿/反向指數股票型基金","國泰美國ETF傘型證券投資信託基金之道瓊工業平均指數單日反向1倍證券投資信託基金","Cathay DJIA Inv 1X ETF","道瓊斯工業平均單日反向指數","否","不適用","不適用","不適用","不適用","是","42443203","105/10/03","105/10/17","游日傑","0227008399","台北市大安區敦化南路二段39號6樓","張錫","吳惠君","張雍川","張永輝","國泰證券投資信託股份有限公司","        211,617,000","台灣集中保管結算所股份有限公司","0227195805","台北市復興北路363號11樓","",
="00670L",="富邦NASDAQ正2","槓桿/反向指數股票型基金","富邦NASDAQ-100 ETF 傘型證券投資信託基金之富邦NASDAQ-100單日正向兩倍證券投資信託基金","Fubon NASDAQ-100  2X Leveraged Index ETF","NASDAQ-100正向2倍指數","否","不適用","不適用","不適用","不適用","是","42441710","106/02/14","106/02/21","陳婉寧","(02)8771-6688","台北市敦化南路一段108號8樓","史綱","史綱","林欣怡","林欣怡","富邦證券投資信託股份有限公司","         59,145,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="00671R",="富邦NASDAQ 反1","槓桿/反向指數股票型基金","富邦NASDAQ-100 ETF傘型證券投資信託基金之富邦NASDAQ-100 單日反向一倍證券投資信託基金","Fubon NASDAQ-100 -1X  Inverse Index ETF","NASDAQ-100反向1倍指數","否","不適用","不適用","不適用","不適用","是","42441704","105/02/14","106/02/21","蘇筱婷","(02)8771-6688","台北市敦化南路一段108號8樓","史綱","史綱","林欣怡","林欣怡","富邦證券投資信託股份有限公司","        409,384,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="00672L",="元大S&amp;P原油正2","槓桿/反向指數股票型基金","元大標普油金傘型期貨信託基金之元大標普高盛原油ER單日正向2倍指數股票型期貨信託基金","Yuanta S&P GSCI Crude Oil 2x Leveraged ER Futures ETF","標普高盛原油日報酬正向兩倍ER指數","","不適用","不適用","不適用","不適用","是","42451147","105/09/30","105/10/07","曾士育","02-27175555","臺北市大安區敦化南路二段67號地下一層","劉宗聖","謝忠賢","謝忠賢","林瑞源","","      2,036,187,000","臺灣集中保管結算所股份有限公司","02-27195805","台北市復興北路363號11樓","",
="00673R",="期元大S&amp;P原油反1(原名：元大S&amp;P原油反1)","槓桿/反向指數股票型基金","元大標普油金傘型期貨信託基金之元大標普高盛原油ER單日反向1倍指數股票型期貨信託基金","Yuanta S&P GSCI Crude Oil 1x Inverse ER Futures ETF","標普高盛原油日報酬反向一倍ER指數","否","不適用","不適用","不適用","不適用","是","42451152","105/09/30","105/10/07","洪佑銘","02-27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","        769,703,000","臺灣集中保管結算所股份有限公司","02-27195805","台北市復興北路363號11樓","",
="00674R",="期元大S&amp;P黃金反1(原名：元大S&amp;P黃金反1)","槓桿/反向指數股票型基金","元大標普油金傘型期貨信託基金之元大標普高盛黃金ER單日反向1倍指數股票型期貨信託基金","Yuanta S&P GSCI Gold 1x Inverse ER FuturesETF","標普高盛黃金日報酬反向一倍ER指數","否","不適用","不適用","不適用","不適用","是","42451168","105/09/30","105/10/07","陳易廷","02-27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","         48,603,000","臺灣集中保管結算所股份有限公司","02-27195805","台北市復興北路363號11樓","",
="00675L",="FB臺灣加權正2","槓桿/反向指數股票型基金","富邦臺灣加權ETF傘型證券投資信託基金之富邦臺灣加權單日正向兩倍證券投資信託基金","Fubon TAIEX Daily 2X  Leveraged ETF","臺灣證券交易所發行量加權股價日報酬正向兩倍指數","否","不適用","不適用","不適用","不適用","否","42450837","105/09/23","105/10/05","陳婉寧","02-8771-6688","台北市敦化南路一段108號8樓","黃昭棠","黃昭棠","林欣怡","林欣怡","富邦證券投資信託股份有限公司","        145,286,000","富邦證券投資信託股份有限公司","02-8771-6688","台北市敦化南路一段108號8樓","",
="00676R",="富邦臺灣加權反1","槓桿/反向指數股票型基金","富邦臺灣加權ETF傘型證券投資信託基金之富邦臺灣加權單日反向一倍證券投資信託基金","Fubon TAIEX Daily-1X Inverse ETF","臺灣證券交易所發行量加權股價日報酬反向一倍指數","否","不適用","不適用","不適用","不適用","否","42450843","105/09/23","105/10/05","陳仲愷","(02)8771-6688","台北市敦化南路一段108號8樓","黃昭棠","黃昭棠","林欣怡","林欣怡","富邦證券投資信託股份有限公司","        536,511,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="00677U",="期富邦VIX","指數股票型期貨信託基金","富邦標普500波動率短期期貨ER指數股票型期貨信託基金","Fubon S&P 500 VIX  Short-Term Futures ETF","標普500波動率短期期貨ER指數","","不適用","不適用","不適用","不適用","是","42460390","105/12/22","105/12/30","楊邦珩","(02)8771-6688","台北市敦化南路一段108號8樓","史綱","史綱","李明州","李明州","富邦投信","      1,486,708,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="00678",="群益那斯達克生技","國外成分證券指數股票型基金","群益那斯達克生技證券投資信託基金","CAPITAL NASDAQ BIOTECHNOLOGY INDEX EXCHANGE","那斯達克生技指數(NBI)","否","不適用","不適用","不適用","不適用","是","42465424","106/01/09","106/01/16","曾盈甄","(02)27067688","台北市大安區敦化南路二段69號15樓","賴政昇","林慧玟","陳明輝","無","無","          7,448,000","群益證券投資信託股份有限公司","(02)27067688","台北市大安區敦化南路二段69號15樓","",
="00680L",="元大美債20正2","槓桿/反向指數股票型基金","元大美國政府20年期(以上)債券ETF傘型證券投資信託基金之元大美國政府20年期(以上)債券單日正向2倍證券投資信託基金","Yuanta Daily U.S. Treasury 20+ Year Bond Bull 2X ETF","ICE美國政府20+年期債券2倍槓桿指數","否","不適用","不適用","不適用","不適用","是","42461567","106/01/11","106/01/17","陳柏彰","02-27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","      4,480,076,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="00681R",="元大美債20反1","槓桿/反向指數股票型基金","元大美國政府20年期(以上)債券ETF傘型證券投資信託基金之元大美國政府20年期(以上)債券單日反向1倍證券投資信託基金","Yuanta Daily U.S. Treasury 20+ Year Bond Bear 1X ETF","ICE美國政府20+年期債券1倍反向指數","否","不適用","不適用","不適用","不適用","是","42461588","106/01/11","106/01/17","李政儒","02-27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","         13,094,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
="00682U",="期元大美元指數(原名：元大美元指數)","指數股票型期貨信託基金","元大標普美元指數傘型期貨信託基金之元大標普美元ER指數股票型期貨信託基金","Yuanta S&P US Dollar ER Futures ETF","標普美元ER指數","否","不適用","不適用","不適用","不適用","是","42469717","106/03/06","106/03/14","黃議玄","02-27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","          6,144,000","臺灣集中保管結算所股份有限公司","02-27195805","臺北市復興北路363號11樓","",
="00683L",="期元大美元指正2(原名：元大美元指數正2)","槓桿/反向指數股票型基金","元大標普美元指數傘型期貨信託基金之元大標普美元ER單日正向2倍指數股票型期貨信託基金","Yuanta S&P US Dollar 2x Leverage ER Futures ETF","標普美元日報酬正向兩倍ER指數","否","不適用","不適用","不適用","不適用","是","42469738","106/03/06","106/03/14","陳易廷","02-27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","         12,934,000","臺灣集中保管結算所股份有限公司","02-27195805","臺北市復興北路363號11樓","",
="00684R",="期元大美元指反1(原名：元大美元指數反1)","槓桿/反向指數股票型基金","元大標普美元指數傘型期貨信託基金之元大標普美元ER單日反向1倍指數股票型期貨信託基金","Yuanta S&P US Dollar 1x Inverse ER Futures ETF","標普美元日報酬反向一倍ER指數","否","不適用","不適用","不適用","不適用","是","42469723","106/03/06","106/03/14","潘昶安","02-27175555","臺北市松山區敦化南路1段66號1樓、4樓、5樓及68號2樓之1","劉宗聖","陳沛宇","陳沛宇","林瑞源","","          7,688,000","臺灣集中保管結算所股份有限公司","02-27195805","臺北市復興北路363號11樓","",
="00685L",="群益臺灣加權正2","槓桿/反向指數股票型基金","群益臺灣加權指數ETF傘型證券投資信託基金之群益臺灣加權指數單日正向2倍證券投資信託基金","CAPITAL TAIEX DAILY LEVERAGED 2X ETF","臺灣證券交易所發行量加權股價日報酬正向兩倍指數","否","不適用","不適用","不適用","不適用","否","42481276","106/03/23","106/03/30","洪祥益","(02)27067688","台北市大安區敦化南路二段69號15樓","賴政昇","林慧玟","陳明輝","無","無","         23,139,000","群益證券投資信託股份有限公司","(02)27067688","台北市大安區敦化南路二段69號15樓","",
="00686R",="群益臺灣加權反1","槓桿/反向指數股票型基金","群益臺灣加權指數ETF傘型證券投資信託基金之群益臺灣加權指數單日反向1倍證券投資信託基金","CAPITAL TAIEX DAILY INVERSED -1X ETF","臺灣證券交易所發行量加權股價日報酬反向一倍指數","否","不適用","不適用","不適用","不適用","否","42481260","106/03/23","106/03/30","洪祥益","(02)27067688","台北市大安區敦化南路二段69號15樓","賴政昇","林慧玟","陳明輝","無","無","         77,276,000","群益證券投資信託股份有限公司","(02)27067688","台北市大安區敦化南路二段69號15樓","",
="00688L",="國泰20年美債正2","槓桿/反向指數股票型基金","國泰美國債券ETF傘型證券投資信託基金之20年期(以上)美國公債指數單日正向2倍證券投資信託基金","Cathay US Treasury 20+ YR Lev 2X ETF","彭博20年期(以上)美國公債單日正向2倍指數","否","不適用","不適用","不適用","不適用","是","42482747","106/04/06","106/04/13","游日傑","0227008399","台北市大安區敦化南路二段39號6樓","張錫","吳惠君","張雍川","張永輝","國泰證券投資信託股份有限公司","      2,030,615,000","台灣集中保管結算所股份有限公司","0227195805","台北市復興北路363號11樓","",
="00689R",="國泰20年美債反1","槓桿/反向指數股票型基金","國泰美國債券ETF傘型證券投資信託基金之20年期(以上)美國公債指數單日反向1倍證券投資信託基金","Cathay US Treasury 20+ YR Inv 1X ETF","彭博20年期(以上)美國公債單日反向1倍指數","否","不適用","不適用","不適用","不適用","是","42482731","106/04/06","106/04/13","游日傑","0227008399","台北市大安區敦化南路二段39號6樓","張錫","吳惠君","張雍川","張永輝","國泰證券投資信託股份有限公司","         11,389,000","台灣集中保管結算所股份有限公司","0227195805","台北市復興北路363號11樓","",
="00690",="兆豐藍籌30","國內成分證券指數股票型基金","兆豐臺灣藍籌30ETF傘型證券投資信託基金之兆豐臺灣藍籌30 ETF證券投資信託基金","Mega Taiwan Blue Chip 30 ETF","藍籌30指數","否","不適用","不適用","不適用","不適用","否","42482107","106/03/27","106/03/31","吳朋鴻","(02)21758388","台北市松山區復興北路167號17樓","陳佩君","黃大川","NA","NA","無","         79,330,000","兆豐國際證券投資信託股份有限公","(02)21758388","台北市松山區復興北路167號17樓","",
="00691R",="兆豐藍籌反一","槓桿/反向指數股票型基金","兆豐國際臺灣藍籌30ETF傘型證券投資信託基金之兆豐國際臺灣藍籌30單日反向一倍ETF證券投資信託基金","Mega Taiwan Blue Chip 30 Daily Inverse ETF","藍籌30反向一倍指數","否","不適用","不適用","不適用","不適用","否","42482113","106/03/27","106/03/31","吳朋鴻　","(02)21758388","台北市松山區復興北路167號17樓","程聰仁","陳駿賢","陳駿賢","陳佩君","無","          2,106,000","兆豐國際證券投資信託股份有限公","(02)21758388","台北市松山區復興北路167號17樓","",
="00692",="富邦公司治理","國內成分證券指數股票型基金","富邦臺灣公司治理100證券投資信託基金","Fubon TWSE Corporate Governance 100 ETF","臺灣證券交易所公司治理100指數","否","不適用","不適用","不適用","不適用","否","42482423","106/05/04","106/05/17","溫芳儀","(02)8771-6688","台北市敦化南路一段108號8樓","黃昭棠","黃昭棠","林欣怡","林欣怡","富邦證券投資信託股份有限公司","        693,280,000","富邦證券投資信託股份有限公司","(02)8771-6688","台北市敦化南路一段108號8樓","",
="00693U",="期街口S&amp;P黃豆","指數股票型期貨信託基金","街口標普高盛黃豆ER指數股票型期貨信託基金","JKO S&P GSCI Soybeans ER Futures ETF","標普高盛黃豆ER指數(S&P GSCI Soybeans ER Index)","否","不適用","不適用","不適用","不適用","是","42484858","106/04/17","106/04/25","鍾元怡","(02)2750-5555","10666臺北市大安區市民大道三段206號9樓","方詳棋","王皓正","王皓正","N/A","","         36,666,000","臺灣集中保管結算所股份有限公司","(02)2719-5805","臺北市復興北路363號11樓","",
="00698L",="元大美債7-10正2","槓桿/反向指數股票型基金","元大美國政府7至10年期債券ETF傘型證券投資信託基金之元大美國政府7至10年期債券單日正向2倍證券投資信託基金","Yuanta Daily U.S. Treasury 7-10 Year Bond Bull 2X ETF","ICE美國政府7-10年期債券2倍槓桿指數","","不適用","不適用","不適用","不適用","是","42469759","106/06/15","106/06/23","周宜縉","(02)27175555","台北市中山區南京東路三段219號11樓","黃古彬","劉宗聖","劉宗聖","黃昭棠","","          1,149,000","臺灣集中保管結算所股份有限公司","(02)27195805","台北市復興北路363號11樓","",
